primary_type,location_description,f0_
DECEPTIVE PRACTICE,COLLEGE / UNIVERSITY - GROUNDS,43
CRIMINAL TRESPASS,LAKEFRONT/WATERFRONT/RIVERBANK,43
CONCEALED CARRY LICENSE VIOLATION,PARK PROPERTY,43
CRIMINAL TRESPASS,OTHER RAILROAD PROPERTY / TRAIN DEPOT,43
GAMBLING,SMALL RETAIL STORE,43
ASSAULT,AIRCRAFT,43
CRIMINAL DAMAGE,NEWSSTAND,43
CRIMINAL TRESPASS,BOWLING ALLEY,43
ROBBERY,NURSING HOME/RETIREMENT HOME,43
ARSON,GAS STATION,43
OFFENSE INVOLVING CHILDREN,RESIDENCE-GARAGE,43
MOTOR VEHICLE THEFT,BAR OR TAVERN,42
CRIMINAL DAMAGE,AIRPORT EXTERIOR - SECURE AREA,42
HUMAN TRAFFICKING,RESIDENCE,42
PUBLIC PEACE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,42
MOTOR VEHICLE THEFT,HOSPITAL BUILDING / GROUNDS,42
ROBBERY,MOVIE HOUSE/THEATER,41
PROSTITUTION,VACANT LOT/LAND,41
SEX OFFENSE,"SCHOOL, PRIVATE, GROUNDS",41
ARSON,"SCHOOL, PUBLIC, GROUNDS",41
DECEPTIVE PRACTICE,CHA HALLWAY/STAIRWELL/ELEVATOR,41
ARSON,CONSTRUCTION SITE,41
MOTOR VEHICLE THEFT,HIGHWAY/EXPRESSWAY,41
CRIMINAL SEXUAL ASSAULT,ABANDONED BUILDING,41
NARCOTICS,OTHER RAILROAD PROPERTY / TRAIN DEPOT,41
ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",41
OFFENSE INVOLVING CHILDREN,LIBRARY,40
CRIMINAL DAMAGE,FOREST PRESERVE,40
OBSCENITY,STREET,40
SEX OFFENSE,AIRPORT/AIRCRAFT,40
PUBLIC PEACE VIOLATION,SCHOOL - PUBLIC GROUNDS,40
DECEPTIVE PRACTICE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,40
STALKING,GROCERY FOOD STORE,40
BURGLARY,FIRE STATION,40
CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,39
BURGLARY,POLICE FACILITY/VEH PARKING LOT,39
WEAPONS VIOLATION,OTHER COMMERCIAL TRANSPORTATION,39
BURGLARY,SCHOOL - PRIVATE BUILDING,39
WEAPONS VIOLATION,HIGHWAY/EXPRESSWAY,39
ROBBERY,MEDICAL/DENTAL OFFICE,39
INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY / VEHICLE PARKING LOT,39
ARSON,BAR OR TAVERN,39
DECEPTIVE PRACTICE,FACTORY / MANUFACTURING BUILDING,39
BURGLARY,AIRPORT/AIRCRAFT,39
CRIMINAL TRESPASS,TAVERN / LIQUOR STORE,38
GAMBLING,GAS STATION,38
SEX OFFENSE,VEHICLE-COMMERCIAL,38
OTHER OFFENSE,AIRPORT EXTERIOR - NON-SECURE AREA,38
ARSON,VACANT LOT / LAND,38
INTIMIDATION,GROCERY FOOD STORE,38
CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC GROUNDS,38
SEX OFFENSE,RESIDENCE - PORCH / HALLWAY,38
NARCOTICS,HOTEL / MOTEL,38
DECEPTIVE PRACTICE,SCHOOL - PRIVATE GROUNDS,38
BATTERY,SAVINGS AND LOAN,37
DECEPTIVE PRACTICE,SPORTS ARENA / STADIUM,37
ASSAULT,FIRE STATION,37
CRIMINAL TRESPASS,ATM (AUTOMATIC TELLER MACHINE),37
CRIM SEXUAL ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,37
WEAPONS VIOLATION,"SCHOOL, PRIVATE, GROUNDS",37
CRIMINAL TRESPASS,AIRPORT PARKING LOT,37
BURGLARY,NEWSSTAND,37
CRIM SEXUAL ASSAULT,SMALL RETAIL STORE,37
HOMICIDE,TAVERN,37
BURGLARY,CHA HALLWAY/STAIRWELL/ELEVATOR,36
HOMICIDE,CHA HALLWAY,36
ASSAULT,AIRPORT EXTERIOR - SECURE AREA,36
PUBLIC PEACE VIOLATION,AIRPORT EXTERIOR - NON-SECURE AREA,36
CRIMINAL DAMAGE,CHA HALLWAY / STAIRWELL / ELEVATOR,36
CRIMINAL TRESPASS,CEMETARY,36
OTHER OFFENSE,AIRCRAFT,36
WEAPONS VIOLATION,HOTEL / MOTEL,36
OTHER OFFENSE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,36
NARCOTICS,CONSTRUCTION SITE,36
INTIMIDATION,"SCHOOL, PUBLIC, GROUNDS",36
CRIM SEXUAL ASSAULT,OTHER RAILROAD PROP / TRAIN DEPOT,35
NARCOTICS,FOREST PRESERVE,35
INTERFERENCE WITH PUBLIC OFFICER,"SCHOOL, PUBLIC, GROUNDS",35
SEX OFFENSE,CONVENIENCE STORE,35
OTHER OFFENSE,PAWN SHOP,35
ARSON,PARK PROPERTY,35
SEX OFFENSE,BARBERSHOP,35
NARCOTICS,MOVIE HOUSE/THEATER,35
CRIMINAL TRESPASS,AUTO / BOAT / RV DEALERSHIP,35
CRIMINAL TRESPASS,NURSING / RETIREMENT HOME,34
ARSON,RESIDENCE - YARD (FRONT / BACK),34
ROBBERY,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",34
OFFENSE INVOLVING CHILDREN,MEDICAL/DENTAL OFFICE,34
WEAPONS VIOLATION,CTA GARAGE / OTHER PROPERTY,34
DECEPTIVE PRACTICE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,34
SEX OFFENSE,CTA GARAGE / OTHER PROPERTY,34
NON-CRIMINAL,RESIDENCE,34
ARSON,CONVENIENCE STORE,34
PUBLIC PEACE VIOLATION,DRIVEWAY - RESIDENTIAL,34
CRIMINAL TRESPASS,CHA HALLWAY / STAIRWELL / ELEVATOR,34
INTIMIDATION,GAS STATION,33
SEX OFFENSE,OTHER COMMERCIAL TRANSPORTATION,33
CRIMINAL TRESPASS,VACANT LOT / LAND,32
ROBBERY,VEHICLE - COMMERCIAL,32
PUBLIC PEACE VIOLATION,GOVERNMENT BUILDING / PROPERTY,32
CRIMINAL DAMAGE,CTA TRACKS - RIGHT OF WAY,32
MOTOR VEHICLE THEFT,TAXICAB,32
HOMICIDE,BASEMENT,32
HOMICIDE,CHA APARTMENT,32
STALKING,"SCHOOL, PUBLIC, GROUNDS",32
PUBLIC PEACE VIOLATION,LAKEFRONT/WATERFRONT/RIVERBANK,32
ARSON,OTHER (SPECIFY),31
CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,31
BATTERY,BOAT / WATERCRAFT,31
SEX OFFENSE,FOREST PRESERVE,31
BURGLARY,VACANT LOT / LAND,31
ARSON,HOTEL/MOTEL,31
SEX OFFENSE,TAVERN/LIQUOR STORE,31
KIDNAPPING,CTA BUS STOP,31
ASSAULT,HIGHWAY / EXPRESSWAY,31
STALKING,RESIDENTIAL YARD (FRONT/BACK),31
ROBBERY,COIN OPERATED MACHINE,30
BURGLARY,NURSING / RETIREMENT HOME,30
ASSAULT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,30
OFFENSE INVOLVING CHILDREN,FIRE STATION,30
ROBBERY,,30
INTERFERENCE WITH PUBLIC OFFICER,CHA HALLWAY/STAIRWELL/ELEVATOR,30
HOMICIDE,ABANDONED BUILDING,30
ASSAULT,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,30
WEAPONS VIOLATION,VEHICLE-COMMERCIAL,29
WEAPONS VIOLATION,POLICE FACILITY / VEHICLE PARKING LOT,29
NARCOTICS,CHA PARKING LOT / GROUNDS,29
BATTERY,PAWN SHOP,29
INTIMIDATION,PARK PROPERTY,29
OTHER OFFENSE,FACTORY / MANUFACTURING BUILDING,29
STALKING,PARKING LOT / GARAGE (NON RESIDENTIAL),29
MOTOR VEHICLE THEFT,TAVERN/LIQUOR STORE,29
PUBLIC PEACE VIOLATION,MOVIE HOUSE/THEATER,29
ARSON,NURSING HOME/RETIREMENT HOME,29
STALKING,DEPARTMENT STORE,29
DECEPTIVE PRACTICE,LAKEFRONT/WATERFRONT/RIVERBANK,29
SEX OFFENSE,RESIDENCE - YARD (FRONT / BACK),29
CRIM SEXUAL ASSAULT,CHA PARKING LOT/GROUNDS,29
SEX OFFENSE,SCHOOL - PRIVATE BUILDING,29
PUBLIC PEACE VIOLATION,BRIDGE,28
OTHER OFFENSE,AIRPORT EXTERIOR - SECURE AREA,28
CRIMINAL TRESPASS,MEDICAL / DENTAL OFFICE,28
ASSAULT,FOREST PRESERVE,28
PROSTITUTION,CHA PARKING LOT/GROUNDS,28
THEFT,BOAT / WATERCRAFT,28
INTERFERENCE WITH PUBLIC OFFICER,CTA GARAGE / OTHER PROPERTY,28
SEX OFFENSE,DRUG STORE,28
MOTOR VEHICLE THEFT,MOVIE HOUSE/THEATER,28
HOMICIDE,VESTIBULE,28
OTHER OFFENSE,TAVERN / LIQUOR STORE,28
OTHER NARCOTIC VIOLATION,SIDEWALK,28
ROBBERY,HOSPITAL BUILDING / GROUNDS,28
PUBLIC PEACE VIOLATION,TAVERN / LIQUOR STORE,28
CRIMINAL SEXUAL ASSAULT,RESIDENCE - GARAGE,28
INTERFERENCE WITH PUBLIC OFFICER,BAR OR TAVERN,28
CRIM SEXUAL ASSAULT,CTA TRAIN,28
ASSAULT,CREDIT UNION,27
CRIMINAL SEXUAL ASSAULT,CTA TRAIN,27
ASSAULT,VEHICLE - COMMERCIAL,27
OFFENSE INVOLVING CHILDREN,DEPARTMENT STORE,27
LIQUOR LAW VIOLATION,HOTEL/MOTEL,27
BATTERY,DELIVERY TRUCK,27
PUBLIC PEACE VIOLATION,OTHER COMMERCIAL TRANSPORTATION,27
OFFENSE INVOLVING CHILDREN,DRUG STORE,27
CRIMINAL SEXUAL ASSAULT,VACANT LOT / LAND,27
OFFENSE INVOLVING CHILDREN,BARBERSHOP,27
OTHER OFFENSE,AIRPORT PARKING LOT,27
CRIMINAL DAMAGE,MOVIE HOUSE / THEATER,27
OFFENSE INVOLVING CHILDREN,ABANDONED BUILDING,27
SEX OFFENSE,DRIVEWAY - RESIDENTIAL,27
CRIMINAL DAMAGE,HIGHWAY / EXPRESSWAY,26
GAMBLING,CTA TRAIN,26
INTIMIDATION,RESIDENTIAL YARD (FRONT/BACK),26
OFFENSE INVOLVING CHILDREN,HOTEL / MOTEL,26
SEX OFFENSE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,26
MOTOR VEHICLE THEFT,CHA APARTMENT,26
WEAPONS VIOLATION,VEHICLE - COMMERCIAL,26
HOMICIDE,BARBER SHOP/BEAUTY SALON,26
MOTOR VEHICLE THEFT,DRUG STORE,26
CRIMINAL TRESPASS,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,26
PUBLIC PEACE VIOLATION,HOSPITAL BUILDING / GROUNDS,26
PROSTITUTION,RESTAURANT,26
MOTOR VEHICLE THEFT,"SCHOOL, PRIVATE, BUILDING",26
CRIM SEXUAL ASSAULT,MEDICAL/DENTAL OFFICE,26
PUBLIC PEACE VIOLATION,RESIDENCE - PORCH / HALLWAY,26
BURGLARY,CTA PLATFORM,25
DECEPTIVE PRACTICE,HIGHWAY/EXPRESSWAY,25
OTHER NARCOTIC VIOLATION,STREET,25
HOMICIDE,HOTEL,25
ASSAULT,CEMETARY,25
CRIM SEXUAL ASSAULT,CTA PLATFORM,25
PUBLIC PEACE VIOLATION,CLEANING STORE,25
CRIMINAL DAMAGE,CREDIT UNION,25
LIQUOR LAW VIOLATION,RESIDENCE-GARAGE,25
STALKING,HOSPITAL BUILDING/GROUNDS,25
ASSAULT,SAVINGS AND LOAN,25
SEX OFFENSE,MEDICAL / DENTAL OFFICE,25
LIQUOR LAW VIOLATION,GAS STATION,25
BATTERY,OTHER RAILROAD PROPERTY / TRAIN DEPOT,25
DECEPTIVE PRACTICE,JAIL / LOCK-UP FACILITY,25
CRIM SEXUAL ASSAULT,GOVERNMENT BUILDING/PROPERTY,24
GAMBLING,GROCERY FOOD STORE,24
NARCOTICS,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,24
WEAPONS VIOLATION,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,24
BURGLARY,SCHOOL - PRIVATE GROUNDS,24
GAMBLING,CTA PLATFORM,24
OFFENSE INVOLVING CHILDREN,RESIDENCE - PORCH / HALLWAY,24
CRIMINAL SEXUAL ASSAULT,CHA APARTMENT,24
SEX OFFENSE,OTHER RAILROAD PROP / TRAIN DEPOT,24
CRIMINAL SEXUAL ASSAULT,COMMERCIAL / BUSINESS OFFICE,24
OTHER OFFENSE,SAVINGS AND LOAN,24
DECEPTIVE PRACTICE,AIRCRAFT,24
PUBLIC PEACE VIOLATION,HOTEL / MOTEL,24
ASSAULT,COLLEGE / UNIVERSITY - GROUNDS,24
NON-CRIMINAL,STREET,24
OFFENSE INVOLVING CHILDREN,CHA HALLWAY/STAIRWELL/ELEVATOR,24
MOTOR VEHICLE THEFT,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,24
BATTERY,AIRPORT VENDING ESTABLISHMENT,24
GAMBLING,RESIDENCE-GARAGE,24
ROBBERY,AIRPORT/AIRCRAFT,23
INTERFERENCE WITH PUBLIC OFFICER,GROCERY FOOD STORE,23
MOTOR VEHICLE THEFT,BANK,23
ARSON,TAVERN/LIQUOR STORE,23
GAMBLING,POOL ROOM,23
DECEPTIVE PRACTICE,SCHOOL - PUBLIC GROUNDS,23
PUBLIC PEACE VIOLATION,DAY CARE CENTER,23
INTIMIDATION,CHA PARKING LOT/GROUNDS,23
CRIM SEXUAL ASSAULT,BARBERSHOP,23
DECEPTIVE PRACTICE,VACANT LOT / LAND,23
SEX OFFENSE,CLEANING STORE,23
OTHER OFFENSE,VEHICLE - COMMERCIAL,23
CRIMINAL TRESPASS,CTA PARKING LOT / GARAGE / OTHER PROPERTY,23
HOMICIDE,STAIRWELL,23
MOTOR VEHICLE THEFT,ATHLETIC CLUB,23
ROBBERY,CTA PARKING LOT / GARAGE / OTHER PROPERTY,23
CRIMINAL DAMAGE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,22
CRIM SEXUAL ASSAULT,TAVERN/LIQUOR STORE,22
HUMAN TRAFFICKING,APARTMENT,22
ARSON,WAREHOUSE,22
LIQUOR LAW VIOLATION,RESIDENTIAL YARD (FRONT/BACK),22
PUBLIC PEACE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,22
CRIMINAL TRESPASS,FOREST PRESERVE,22
ROBBERY,FOREST PRESERVE,22
MOTOR VEHICLE THEFT,HIGHWAY / EXPRESSWAY,22
NARCOTICS,RESIDENCE - GARAGE,22
WEAPONS VIOLATION,CAR WASH,22
ARSON,DEPARTMENT STORE,22
HOMICIDE,DRIVEWAY,21
ARSON,HOSPITAL BUILDING/GROUNDS,21
CRIMINAL SEXUAL ASSAULT,RESTAURANT,21
SEX OFFENSE,LAKEFRONT/WATERFRONT/RIVERBANK,21
CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY GROUNDS,21
OTHER OFFENSE,COIN OPERATED MACHINE,21
CRIM SEXUAL ASSAULT,DRIVEWAY - RESIDENTIAL,21
KIDNAPPING,GOVERNMENT BUILDING/PROPERTY,21
LIQUOR LAW VIOLATION,WAREHOUSE,21
INTERFERENCE WITH PUBLIC OFFICER,CHA APARTMENT,21
ARSON,GOVERNMENT BUILDING/PROPERTY,21
OFFENSE INVOLVING CHILDREN,RESIDENCE - YARD (FRONT / BACK),21
CRIMINAL DAMAGE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,21
ARSON,CHA HALLWAY/STAIRWELL/ELEVATOR,21
OFFENSE INVOLVING CHILDREN,SCHOOL - PRIVATE GROUNDS,21
BATTERY,ATM (AUTOMATIC TELLER MACHINE),20
STALKING,BAR OR TAVERN,20
ROBBERY,SAVINGS AND LOAN,20
KIDNAPPING,DAY CARE CENTER,20
DECEPTIVE PRACTICE,AIRPORT EXTERIOR - SECURE AREA,20
ROBBERY,VEHICLE - OTHER RIDE SERVICE,20
CRIM SEXUAL ASSAULT,CTA BUS STOP,20
PUBLIC PEACE VIOLATION,AIRPORT EXTERIOR - SECURE AREA,20
BATTERY,COLLEGE / UNIVERSITY - GROUNDS,20
ARSON,"SCHOOL, PRIVATE, BUILDING",20
CRIMINAL TRESPASS,DELIVERY TRUCK,20
CONCEALED CARRY LICENSE VIOLATION,ALLEY,20
SEX OFFENSE,AIRCRAFT,20
STALKING,OTHER (SPECIFY),20
GAMBLING,BAR OR TAVERN,20
SEX OFFENSE,SCHOOL - PRIVATE GROUNDS,19
WEAPONS VIOLATION,HIGHWAY / EXPRESSWAY,19
OFFENSE INVOLVING CHILDREN,OTHER COMMERCIAL TRANSPORTATION,19
NARCOTICS,VEHICLE - COMMERCIAL,19
WEAPONS VIOLATION,TAVERN / LIQUOR STORE,19
CRIMINAL DAMAGE,VEHICLE - OTHER RIDE SERVICE,19
CRIMINAL TRESPASS,AIRPORT TRANSPORTATION SYSTEM (ATS),19
PUBLIC PEACE VIOLATION,CONSTRUCTION SITE,19
MOTOR VEHICLE THEFT,ABANDONED BUILDING,19
PROSTITUTION,CTA PLATFORM,19
LIQUOR LAW VIOLATION,BARBERSHOP,19
SEX OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",19
OFFENSE INVOLVING CHILDREN,CTA BUS,19
INTIMIDATION,BAR OR TAVERN,19
INTERFERENCE WITH PUBLIC OFFICER,CTA BUS,19
DECEPTIVE PRACTICE,MOVIE HOUSE / THEATER,19
HOMICIDE,OFFICE,19
PROSTITUTION,ABANDONED BUILDING,19
ARSON,BARBERSHOP,19
CRIMINAL SEXUAL ASSAULT,DAY CARE CENTER,19
OBSCENITY,SIDEWALK,19
WEAPONS VIOLATION,WAREHOUSE,19
BURGLARY,SCHOOL - PUBLIC GROUNDS,19
CRIMINAL TRESPASS,FACTORY / MANUFACTURING BUILDING,18
CRIMINAL DAMAGE,SPORTS ARENA / STADIUM,18
CRIM SEXUAL ASSAULT,"SCHOOL, PRIVATE, GROUNDS",18
BURGLARY,SAVINGS AND LOAN,18
HOMICIDE,CLUB,18
INTERFERENCE WITH PUBLIC OFFICER,HIGHWAY/EXPRESSWAY,18
ASSAULT,VEHICLE - OTHER RIDE SERVICE,18
BURGLARY,SPORTS ARENA/STADIUM,18
MOTOR VEHICLE THEFT,FOREST PRESERVE,18
ASSAULT,SPORTS ARENA / STADIUM,18
DECEPTIVE PRACTICE,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,18
ASSAULT,LAKEFRONT / WATERFRONT / RIVERBANK,18
NARCOTICS,POOL ROOM,18
ASSAULT,BRIDGE,18
OTHER OFFENSE,BOWLING ALLEY,18
OTHER NARCOTIC VIOLATION,PARK PROPERTY,17
CRIMINAL TRESPASS,COLLEGE / UNIVERSITY - GROUNDS,17
OFFENSE INVOLVING CHILDREN,CTA PLATFORM,17
KIDNAPPING,SMALL RETAIL STORE,17
STALKING,RESIDENCE - PORCH / HALLWAY,17
ASSAULT,OTHER RAILROAD PROPERTY / TRAIN DEPOT,17
ROBBERY,LAKEFRONT / WATERFRONT / RIVERBANK,17
BATTERY,CEMETARY,17
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT/AIRCRAFT,17
NARCOTICS,ATHLETIC CLUB,17
INTIMIDATION,CHA APARTMENT,17
PUBLIC INDECENCY,RESTAURANT,17
CRIMINAL TRESPASS,ANIMAL HOSPITAL,17
BURGLARY,GOVERNMENT BUILDING / PROPERTY,17
OTHER OFFENSE,COLLEGE / UNIVERSITY - GROUNDS,17
PUBLIC INDECENCY,SIDEWALK,17
STALKING,GAS STATION,17
KIDNAPPING,RESIDENTIAL YARD (FRONT/BACK),17
NON-CRIMINAL,SIDEWALK,17
DECEPTIVE PRACTICE,COIN OPERATED MACHINE,17
LIQUOR LAW VIOLATION,OTHER (SPECIFY),17
NARCOTICS,BRIDGE,17
STALKING,VEHICLE NON-COMMERCIAL,16
OTHER NARCOTIC VIOLATION,"SCHOOL, PUBLIC, BUILDING",16
CRIMINAL SEXUAL ASSAULT,MEDICAL / DENTAL OFFICE,16
PUBLIC INDECENCY,STREET,16
CRIMINAL DAMAGE,COLLEGE / UNIVERSITY - GROUNDS,16
NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,16
ARSON,CHA PARKING LOT/GROUNDS,16
NARCOTICS,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,16
OTHER OFFENSE,AIRPORT VENDING ESTABLISHMENT,16
BATTERY,COLLEGE / UNIVERSITY - RESIDENCE HALL,16
GAMBLING,CTA BUS STOP,16
INTERFERENCE WITH PUBLIC OFFICER,HOSPITAL BUILDING / GROUNDS,16
STALKING,DRUG STORE,16
STALKING,CHA APARTMENT,16
NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT,16
STALKING,RESIDENCE - YARD (FRONT / BACK),16
PROSTITUTION,FOREST PRESERVE,16
HOMICIDE,SCHOOL YARD,16
NARCOTICS,CTA PARKING LOT / GARAGE / OTHER PROPERTY,16
BURGLARY,CREDIT UNION,16
STALKING,"SCHOOL, PRIVATE, BUILDING",16
OFFENSE INVOLVING CHILDREN,SCHOOL - PRIVATE BUILDING,16
OTHER OFFENSE,DELIVERY TRUCK,16
CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE BUILDING,16
BATTERY,VEHICLE - DELIVERY TRUCK,16
KIDNAPPING,CHA APARTMENT,16
MOTOR VEHICLE THEFT,FIRE STATION,16
MOTOR VEHICLE THEFT,SCHOOL - PRIVATE GROUNDS,16
SEX OFFENSE,FACTORY/MANUFACTURING BUILDING,16
HOMICIDE,RAILROAD PROPERTY,15
MOTOR VEHICLE THEFT,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,15
ROBBERY,ATHLETIC CLUB,15
PUBLIC PEACE VIOLATION,ATHLETIC CLUB,15
THEFT,CTA TRACKS - RIGHT OF WAY,15
OFFENSE INVOLVING CHILDREN,CTA TRAIN,15
NON-CRIMINAL,OTHER,15
OTHER OFFENSE,CREDIT UNION,15
OFFENSE INVOLVING CHILDREN,DRIVEWAY - RESIDENTIAL,15
DECEPTIVE PRACTICE,DELIVERY TRUCK,15
LIQUOR LAW VIOLATION,ABANDONED BUILDING,15
NON-CRIMINAL,APARTMENT,15
DECEPTIVE PRACTICE,NEWSSTAND,15
STALKING,CTA PLATFORM,15
ROBBERY,DAY CARE CENTER,15
PUBLIC PEACE VIOLATION,SCHOOL - PRIVATE BUILDING,15
SEX OFFENSE,WAREHOUSE,15
OTHER OFFENSE,LAKEFRONT/WATERFRONT/RIVERBANK,15
KIDNAPPING,RESIDENCE-GARAGE,15
ROBBERY,AUTO / BOAT / RV DEALERSHIP,15
OFFENSE INVOLVING CHILDREN,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,15
CRIMINAL DAMAGE,AIRPORT VENDING ESTABLISHMENT,15
WEAPONS VIOLATION,CHA HALLWAY / STAIRWELL / ELEVATOR,15
CRIM SEXUAL ASSAULT,POLICE FACILITY/VEH PARKING LOT,15
CRIMINAL SEXUAL ASSAULT,GAS STATION,15
CRIMINAL SEXUAL ASSAULT,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,15
ROBBERY,NEWSSTAND,15
BURGLARY,ATM (AUTOMATIC TELLER MACHINE),15
OBSCENITY,SCHOOL - PUBLIC BUILDING,15
CRIMINAL DAMAGE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",14
NARCOTICS,MEDICAL / DENTAL OFFICE,14
WEAPONS VIOLATION,BRIDGE,14
KIDNAPPING,"SCHOOL, PRIVATE, BUILDING",14
INTERFERENCE WITH PUBLIC OFFICER,DRIVEWAY - RESIDENTIAL,14
WEAPONS VIOLATION,DRUG STORE,14
MOTOR VEHICLE THEFT,VEHICLE - DELIVERY TRUCK,14
INTERFERENCE WITH PUBLIC OFFICER,HOTEL/MOTEL,14
WEAPONS VIOLATION,SPORTS ARENA/STADIUM,14
BURGLARY,LAKEFRONT/WATERFRONT/RIVERBANK,14
NARCOTICS,ANIMAL HOSPITAL,14
OFFENSE INVOLVING CHILDREN,GOVERNMENT BUILDING / PROPERTY,14
STALKING,CTA BUS,14
SEX OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",14
NARCOTICS,APPLIANCE STORE,14
SEX OFFENSE,MOVIE HOUSE/THEATER,14
PUBLIC PEACE VIOLATION,CAR WASH,14
INTERFERENCE WITH PUBLIC OFFICER,TAVERN/LIQUOR STORE,14
KIDNAPPING,"SCHOOL, PRIVATE, GROUNDS",14
PUBLIC PEACE VIOLATION,SPORTS ARENA / STADIUM,14
OTHER OFFENSE,ATM (AUTOMATIC TELLER MACHINE),14
NON - CRIMINAL,RESIDENCE,14
SEX OFFENSE,SPORTS ARENA/STADIUM,14
OFFENSE INVOLVING CHILDREN,VACANT LOT/LAND,14
ROBBERY,HIGHWAY/EXPRESSWAY,14
BURGLARY,CEMETARY,14
INTIMIDATION,POLICE FACILITY / VEHICLE PARKING LOT,14
PUBLIC INDECENCY,OTHER,14
INTIMIDATION,HOSPITAL BUILDING/GROUNDS,14
THEFT,COLLEGE / UNIVERSITY - RESIDENCE HALL,14
PROSTITUTION,TAXICAB,14
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE - YARD (FRONT / BACK),14
STALKING,POLICE FACILITY / VEHICLE PARKING LOT,14
NARCOTICS,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,14
STALKING,PARK PROPERTY,14
CRIMINAL DAMAGE,VEHICLE - DELIVERY TRUCK,14
CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE GROUNDS,14
MOTOR VEHICLE THEFT,GOVERNMENT BUILDING / PROPERTY,14
BATTERY,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,13
OFFENSE INVOLVING CHILDREN,NURSING HOME/RETIREMENT HOME,13
NARCOTICS,DAY CARE CENTER,13
THEFT,HIGHWAY / EXPRESSWAY,13
HOMICIDE,HOSPITAL,13
MOTOR VEHICLE THEFT,CTA STATION,13
CRIM SEXUAL ASSAULT,CTA GARAGE / OTHER PROPERTY,13
INTIMIDATION,OTHER (SPECIFY),13
WEAPONS VIOLATION,OTHER RAILROAD PROPERTY / TRAIN DEPOT,13
BATTERY,CTA TRACKS - RIGHT OF WAY,13
SEX OFFENSE,VEHICLE - COMMERCIAL,13
NARCOTICS,NEWSSTAND,13
ARSON,OTHER COMMERCIAL TRANSPORTATION,13
KIDNAPPING,CHA PARKING LOT/GROUNDS,13
CRIMINAL DAMAGE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",13
PUBLIC PEACE VIOLATION,COLLEGE/UNIVERSITY RESIDENCE HALL,13
CRIMINAL SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",13
MOTOR VEHICLE THEFT,DAY CARE CENTER,13
DECEPTIVE PRACTICE,VEHICLE - DELIVERY TRUCK,13
ARSON,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,13
DECEPTIVE PRACTICE,FIRE STATION,13
PROSTITUTION,SPORTS ARENA/STADIUM,13
STALKING,POLICE FACILITY/VEH PARKING LOT,13
INTERFERENCE WITH PUBLIC OFFICER,CONVENIENCE STORE,13
NARCOTICS,AIRPORT VENDING ESTABLISHMENT,13
CRIM SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",13
